Ananthaswamy and Atkinson					
b(mol/kg)	gamma (0C)	gamma (10C)	gamma (25C)	gamma (40C)	gamma (60C)
0	1	1	1	1	1
0.001	0.892	0.8906	0.8881	0.8851	0.8806
0.01	0.7352	0.7321	0.7266	0.7201	0.7102
0.025	0.6513	0.6474	0.6406	0.6326	0.6203
0.05	0.5873	0.583	0.5753	0.5663	0.5523
0.075	0.5524	0.5478	0.5397	0.5301	0.5152
0.1	0.5295	0.5248	0.5164	0.5064	0.4909
0.2	0.4842	0.4792	0.47	0.459	0.4415
0.3	0.467	0.4618	0.452	0.4401	0.4211
0.4	0.4611	0.4557	0.4454	0.4326	0.4121
0.5	0.4616	0.4562	0.4453	0.4315	0.4095
0.6	0.4665	0.461	0.4495	0.4347	0.411
0.7	0.4748	0.4693	0.4571	0.4412	0.4156
0.8	0.4861	0.4805	0.4676	0.4505	0.4229
0.9	0.5	0.4943	0.4806	0.4621	0.4323
1	0.5163	0.5105	0.4959	0.4759	0.4437
1.2	0.5565	0.5503	0.5334	0.5098	0.472
1.4	0.6069	0.6001	0.5801	0.552	0.5075
1.6	0.6687	0.6607	0.6367	0.6031	0.5503
1.8	0.7434	0.7336	0.7044	0.6638	0.6009
2	0.8331	0.8207	0.7846	0.7353	0.6601
2.25	0.9707	0.9531	0.9054	0.8421	0.7477
2.5	1.143	1.117	1.053	0.9716	0.8524
2.75	1.357	1.32	1.234	1.128	0.9772
3	1.624	1.57	1.454	1.316	1.125
3.25	1.957	1.879	1.722	1.542	1.3
3.5	2.37	2.258	2.047	1.813	1.505
3.75	2.88	2.723	2.438	2.134	1.744
4	3.509	3.289	2.909	2.514	2.022
4.25	4.28	3.977	3.471	2.962	2.343
4.5	5.221	4.807	4.137	3.483	2.709
4.75	6.359	5.8	4.921	4.087	3.124
5	7.727	6.979	5.835	4.777	3.588
5.5	11.29	9.981	8.088	6.431	4.661
6	16.21	13.97	10.93	8.434	5.901
6.5	22.85	19.04	14.32	10.71	7.244
7	31.81	25.26	18.12	13.13	8.594
