L_phi (J/mol)	Ananthaswamy 1985						
b (mol(kg)	0	10	20	25	30	50	70
0.0001102				103			
0.0005509				224.8			
0.001	193.1	235.2	281.9	307	333.2	450.7	590.4
0.001102				312.3			
0.0027754				477.2			
0.005509				650.1			
0.01	533.2	653.1	787.1	859.2	934.7	1273	1674
0.0111				873.6			
0.025	760	934.7	1131	1237	1348	1847	2438
0.02775				1256.6			
0.034693			1235.2				
0.05	966.9	1194	1452	1591	1738	2396	3175
0.05551				1738.8			
0.0694			1550.7	1612.8			
0.1	1198	1488	1820	2000	2191	3049	4064
0.11102				2020.3			
0.13877			1901.3				
0.18503				2349.8			
0.18961					2770.3		
0.2		1807	2233	2466	2712	3822	5134
0.27754			2295				
0.3		2002	2498	2770	3004	4350	5871
0.32063					3213.7		
0.39396					3400.9		
0.5		2246	2864	3201	3554	5134	6969
0.50506					3644.8		
0.55509			2769	3181.3			
0.5904					3813.9		
0.6		2330	3007	3373	3757	5459	7422
0.69652					3994.2		
0.7		2397	3134	3530	3942	5760	7837
0.74012				3462.8			
0.98994					4545		
1		2545	3465	3947		6573	8943
1.1102			3405.5	3980.3			
1.2		2623	3666			7077	9612
1.3877				4373.7			
1.4		2699			5066	7568	10250
1.6		2784	4076	4726	5381	8056	10880
2	1455	3006	4535	5292	6045	9048	12110
2.2203	1480			5721.6			
2.5	1566	3427	5226	6104	6971	10350	13700
2.75	1710	3708	5629	6563	7482	11040	14520
2.7754				6797.4			
3	1916	4038	6073	7059	8027	11750	15370
3.5	2504	4848	7085	8166	9224	13270	17150
3.7006				8903.9			
4	3306	5842	8258	9423	10560	14910	19030
4.2699				10371			
4.5	4284	7000	9580	10820	12030	16650	21020
4.6257				11343			
5	5407	8301	11040	12350	13630	18490	23100
5.5509				14236			
6	8079	11310	14320	15371	17150	22400	27420
