Ananthaswamy and Atkinson					
b(mol/kg)	phi (0C)	phi (10C)	phi (25C)	phi (40C)	phi (60C)
0	1	1	1	1	1
0.001	0.9634	0.963	0.962	0.961	0.9593
0.01	0.9099	0.9087	0.9065	0.9038	0.8997
0.025	0.8834	0.8818	0.8789	0.8755	0.8699
0.05	0.867	0.8651	0.8618	0.8577	0.851
0.075	0.8609	0.8589	0.8553	0.8508	0.8435
0.1	0.859	0.857	0.8532	0.8484	0.8406
0.2	0.866	0.8639	0.8597	0.8542	0.8448
0.3	0.8814	0.8793	0.8749	0.8687	0.8581
0.4	0.9002	0.8983	0.8936	0.8869	0.875
0.5	0.9213	0.9197	0.9148	0.9074	0.8944
0.6	0.9442	0.9429	0.9378	0.9298	0.9155
0.7	0.9687	0.9676	0.9624	0.9537	0.9381
0.8	0.9947	0.9938	0.9883	0.9789	0.9621
0.9	1.022	1.021	1.016	1.005	0.9871
1	1.05	1.05	1.044	1.033	1.013
1.2	1.111	1.111	1.103	1.091	1.068
1.4	1.176	1.175	1.167	1.152	1.126
1.6	1.245	1.244	1.233	1.216	1.186
1.8	1.318	1.316	1.303	1.282	1.248
2	1.394	1.391	1.375	1.351	1.313
2.25	1.495	1.489	1.469	1.441	1.396
2.5	1.6	1.591	1.566	1.532	1.481
2.75	1.71	1.696	1.666	1.627	1.568
3	1.823	1.805	1.768	1.722	1.655
3.25	1.939	1.915	1.871	1.819	1.744
3.5	2.056	2.027	1.975	1.916	1.832
3.75	2.175	2.14	2.079	2.013	1.919
4	2.293	2.252	2.183	2.109	2.005
4.25	2.409	2.362	2.285	2.202	2.089
4.5	2.524	2.471	2.384	2.293	2.169
4.75	2.636	2.576	2.48	2.381	2.246
5	2.744	2.678	2.572	2.464	2.319
5.5	2.947	2.867	2.741	2.614	2.449
6	3.132	3.033	2.884	2.74	2.554
6.5	3.298	3.174	2.999	2.835	2.631
7	3.453	3.291	3.083	2.9	2.679
