L_phi KCl (cal/mol)	Parker 	Snipes Manly 1975		
b (mol/kg)	25(¡C)	40(¡C)	60(¡C)	80(¡C)
0	0	0	0	0
0.000111	5			
0.00111	14			
0.00555	31			
0.0111	41			
0.02775	57			
0.05	68			
0.111	82			
0.1203		120.6		
0.1268			175	
0.1388	84			
0.1397				251.4
0.185	85			
0.1917		129		
0.37	72			
0.4186		135.7		
0.5	57			
0.5206			243	
0.5514				372
0.5809		128.7		
0.7401	23			
0.8143		115.5		
1	-15			
1.024		99	257	
1.213			269	
1.343				445
1.3877	-73			
1.512			262	
1.8502	-139			
1.975				474.5
1.993		20.4		
2.039			253	
2.5	-228			
2.7753	-263			
2.813			234	
2.965		-49		
3	-289			
3.054				494.6
4	-395			
4.109				529.3
4.388		-126	199.5	
4.5	-440			
