				Snipes 1975		Snipes 1975	
	Platford 1973	Amado 2004	Platford 1973	Partanen2016	Snipes 1975	Partanen2016	
molality (mol/kg)	phi (0¡C)	phi (10C)	phi (15C)	phi (25¡C)	phi (40¡C)	phi (50¡C)	phi (60¡C)
0.01	0.9684			0.9675		0.966	
0.02	0.9582			0.9572		0.955	
0.03	0.9513			0.9503		0.948	
0.04	0.946			0.9451		0.943	
0.05	0.9416			0.9409		0.938	
0.06	0.9379			0.9374		0.935	
0.07	0.9347			0.9343		0.932	
0.08	0.9319			0.9317		0.929	
0.09	0.9293			0.9294		0.927	
0.1	0.926	0.9296	0.927	0.9272	0.926	0.925	0.924
0.2	0.911	0.9131	0.914	0.9137	0.913	0.912	0.911
0.3	0.905	0.9038	0.906	0.907	0.906	0.906	0.905
0.4	0.897	0.9005	0.901	0.903	0.903	0.9025	0.902
0.5	0.892	0.8985	0.897	0.9005	0.901	0.901	0.9
0.6	0.888	0.8938	0.894	0.899	0.9	0.9005	0.9
0.7	0.885	0.8928	0.892	0.8985	0.9	0.9	0.9
0.8	0.883	0.8922	0.891	0.898	0.9	0.9005	0.901
0.9	0.881	0.892	0.891	0.898	0.901	0.901	0.902
1	0.879	0.8919	0.891	0.898	0.902	0.902	0.903
1.2				0.899	0.905	0.906	0.907
1.4	0.877		0.894	0.901	0.908	0.91	0.911
1.6				0.904	0.911	0.914	0.915
1.8				0.908	0.916	0.919	0.92
2	0.883		0.903	0.912	0.921	0.924	0.926
2.5	0.892		0.913	0.924	0.934	0.938	0.94
3	0.901		0.926	0.937	0.948	0.953	0.955
3.5	0.912		0.939	0.95	0.962	0.966	0.969
4	0.926		0.952	0.965	0.977	0.981	0.984
