Tanner 1978	Apparent molal heta capacity of NaCl			cal/deg-mole	EXCESS				Wood Messikomer 1975		Excess molar heat capacity		cal/K/mol
b (mol(kg)	5	25	45	65	5	25	45	65	25	30	40	50	
0	-38	-21.1	-15.5	-14.3	0	0	0	0					
0.0411		-19.4				1.7							
0.0424			-12.7				2.8						
0.045		-20.1				1							
0.074			-11.8				3.7						
0.0748		-18.4				2.7							
0.0754		-17.6				3.5							
0.0763	-34.6	-18.3	-14.2	-11.3	3.4	2.8	1.3	3					
0.1101		-17.7	-12.9			3.4	2.6						
0.1177		-17.9				3.2							
0.1783			-12				3.5						
0.1799	-31.7	-15.9	-10.8	-10	6.3	5.2	4.7	4.3					
0.1815		-17.3				3.8							
0.3212	-29.34	-15.8	-10.48	-8.88	8.66	5.3	5.02	5.42					
0.4481	-27.5	-14.05	-9.18	-8.56	10.5	7.05	6.32	5.74					
0.5919	-25.97	-12.55	-8.37	-7.24	12.03	8.55	7.13	7.06					
0.7494	-22.72	-11.3	-7.63	-6.52	15.28	9.8	7.87	7.78					
0.9199	-20.84	-10.09	-6.64	-5.82	17.16	11.01	8.86	8.48					
1.2462	-16.78	-7.83	-4.82		21.22	13.27	10.68						
1.2463	-16.69	-7.83	-4.79	-4.21	21.31	13.27	10.71	10.09					
1.646	-12.76	-5.5	-3.07	-2.78	25.24	15.6	12.43	11.52					
2.0979	-9.23	-3.17	-1.31	-1.12	28.77	17.93	14.19	13.18					
2.0983	-9.4	-3.06	-1.31	-1.2	28.6	18.04	14.19	13.1					
2.4727	-6.61	-1.41	0.1	0.05	31.39	19.69	15.6	14.35					
2.8983	-3.92	0.36	1.52	1.47	34.08	21.46	17.02	15.77					
3.212		1.58	2.49	2.26		22.68	17.99	16.56					
4.0346	1.71	4.49	4.95	4.55	39.71	25.59	20.45	18.85					
4.6882	4.26	6.4	6.61	6.03	42.26	27.5	22.11	20.33					
4.6886	4.14	6.45	6.66	6.18	42.14	27.55	22.16	20.48					
5.345		8.22	8.18	7.51		29.32	23.68	21.81					
5.3582	6.58	8.27	8.19	7.51	44.58	29.37	23.69	21.81					
5.3583		8.26	8.23	7.53		29.36	23.73	21.83					
6.0449	8.79	10.09	9.85	9.09	46.79	31.19	25.35	23.39					
6.045	8.68	9.95	9.69	8.92	46.68	31.05	25.19	23.22					
