"Clarke, E. C. W., & Glew, D. N. (1985). "																		apparent molal relative heat capacity									
													J/mol					J/K/mol									
b (mol/kg)	phi (0¡C)	phi (5¡C)	phi (15¡C)	phi (25¡C)	phi (40¡C)	phi (60¡C)	gamma (0¡C)	gamma (10¡C)	gamma (15¡C)	gamma (25¡C)	gamma (40¡C)	gamma (60¡C)	Lphi (0¡C)	Lphi (10¡C)	Lphi (25¡C)	Lphi (40¡C)	Lphi(60¡C)	Cpphi (0¡C)	Cpphi (10¡C)	Cpphi (25¡C)	Cpphi (40¡C)	Cpphi (60¡C)	Jphi (0¡C)	Jphi (10¡C)	Jphi (25¡C)	Jphi (40¡C)	Jphi (60¡C)
0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	-183.8	-129.79	-83.95	-64.434	-58.65	0	0	0	0	0
0.001	0.98882	0.98874	0.98858	0.9884	0.98809	0.98763	0.96632	0.96584	0.96558	0.96503	0.96413	0.96275	40.55	47.61	59.19	72.89	95.73	-183.11	-129.07	-83.12	-63.432	-57.36	-0.69	-0.72	-0.83	-1.002	-1.29
0.002	0.98458	0.98449	0.98427	0.98402	0.98361	0.98298	0.95347	0.95284	0.95259	0.95175	0.95052	0.94864	54.62	65.18	81.94	101.36	133.51	-182.74	-128.73	-82.76	-63.019	-56.84	-1.06	-1.06	-1.19	-1.415	-1.81
0.005	0.9768	0.97668	0.97639	0.97604	0.97544	0.97449	0.92969	0.92882	0.92833	0.92726	0.92546	0.92268	78	96.45	124.11	155.02	205.4	-181.9	-127.98	-82.03	-62.203	-55.82	-1.9	-1.81	-1.92	-2.231	-2.83
0.01	0.96894	0.96881	0.96847	0.96804	0.96726	0.96601	0.90532	0.90427	0.90366	0.90231	0.89997	0.89632	97.39	126.17	167.08	211.15	281.77	-180.76	-127.03	-81.18	-61.285	-54.7	-3.04	-2.76	-2.77	-3.149	-3.95
0.02	0.95925	0.95916	0.95881	0.95832	0.95736	0.95576	0.87464	0.87351	0.87279	0.87114	0.8682	0.86353	112.9	158.68	220.02	283.1	381.93	-178.83	-125.52	-79.91	-59.985	-53.16	-4.97	-4.27	-4.04	-4.449	-5.49
0.05	0.94408	0.94418	0.94403	0.94357	0.94247	0.94041	0.82428	0.82339	0.82265	0.82074	0.81707	0.81094	105.6	192.45	299.77	402.25	556.2	-174.08	-121.96	-77.181	-57.375	-50.21	-9.72	-7.83	-6.769	-7.059	-8.44
0.1	0.93184	0.93232	0.93269	0.9325	0.93151	0.92925	0.77998	0.77986	0.77931	0.77753	0.77356	0.76644	43.2	186.1	353.15	503.02	718.9	-167.5	-117.18	-73.778	-54.342	-46.98	-16.3	-12.61	-10.172	-10.092	-11.67
0.2	0.92056	0.92183	0.92334	0.92387	0.92344	0.92131	0.73269	0.73432	0.73435	0.73325	0.72954	0.7218	-129.1	107.1	370.81	593.64	898.8	-156.49	-109.3	-68.392	-49.818	-42.46	-27.31	-20.49	-15.558	-14.616	-16.19
0.3	0.91527	0.9173	0.91994	0.92123	0.92149	0.91972	0.70493	0.70829	0.70892	0.70865	0.70552	0.69772	-318.3	-2	344.62	628	1004	-147.05	-102.52	-63.835	-46.127	-38.961	-36.75	-27.27	-20.115	-18.307	-19.689
0.4	0.91254	0.91528	0.91901	0.92106	0.92203	0.92069	0.68579	0.69079	0.69201	0.69261	0.69016	0.68251	-510.5	-122.3	299.05	636.6	1074.4	-138.59	-96.42	-59.732	-42.861	-35.96	-45.21	-33.37	-24.218	-21.573	-22.69
0.5	0.91128	0.91469	0.91945	0.92224	0.92391	0.92301	0.67159	0.67814	0.67994	0.68139	0.67965	0.67225	-701.5	-247.1	243.2	630.7	1124.5	-130.86	-90.79	-55.938	-39.868	-33.266	-52.94	-39	-28.012	-24.566	-25.384
0.6	0.91101	0.91504	0.92079	0.92427	0.92662	0.92617	0.66061	0.66863	0.67099	0.67328	0.67226	0.66516	-889.4	-373.6	181.3	615.6	1161.4	-123.69	-85.54	-52.378	-37.074	-30.788	-60.11	-44.25	-31.572	-27.36	-27.862
0.7	0.91148	0.9161	0.92276	0.92691	0.92992	0.92989	0.65193	0.66136	0.66426	0.66735	0.66706	0.66027	-1073.5	-500	115.9	594.5	1189	-116.99	-80.6	-49.007	-34.435	-28.472	-66.81	-49.19	-34.943	-29.999	-30.178
0.8	0.91254	0.91771	0.92524	0.93002	0.93365	0.93403	0.645	0.65576	0.65917	0.66306	0.66347	0.65701	-1253.3	-625	48.4	569.3	1210	-110.68	-75.92	-45.796	-31.924	-26.285	-73.12	-53.87	-38.154	-32.51	-32.365
0.9	0.9141	0.91978	0.92813	0.9335	0.93771	0.9385	0.63944	0.65148	0.65539	0.66004	0.66114	0.655	-1428.7	-749.2	-20.1	541.2	1226.1	-104.71	-71.47	-42.724	-29.521	-24.204	-79.09	-58.32	-41.226	-34.913	-34.446
1	0.9161	0.92225	0.93137	0.93729	0.94206	0.94322	0.63501	0.64828	0.65266	0.65805	0.65983	0.65401	-1599.7	-871	-88.9	511.1	1238.3	-99.05	-67.22	-39.776	-27.214	-22.214	-84.75	-62.57	-44.174	-37.22	-36.436
1.2	0.92129	0.92823	0.93873	0.94567	0.95144	0.95326	0.62884	0.64442	0.64972	0.65652	0.65959	0.65438	-1928.2	-1107.8	-226	447.5	1254.7	-88.51	-59.26	-34.202	-22.844	-18.459	-95.29	-70.53	-49.748	-41.59	-40.191
1.4	0.92761	0.93538	0.94708	0.95491	0.96156	0.96393	0.62553	0.64326	0.64941	0.65753	0.66182	0.65717	-2239.3	-1334.6	-360.8	381.8	1263.9	-78.87	-51.9	-29.004	-18.754	-14.953	-104.93	-77.89	-54.946	-45.68	-43.697
1.5	0.93123	0.93934	0.95158	0.9598	0.96684	0.96916	0.62475	0.64351	0.65006	0.65882	0.66368	0.6593	-2388.5	-1444.1	-425.9	348.9	1266.7	-74.34	-48.43	-26.529	-16.8	-13.279	-109.46	-81.36	-57.421	-47.634	-45.371
