Messikomer (1975)	Excess enthalpy L_phi (cal/mol)				
m (mol/kg)	25(¡C)	30(¡C)	40(¡C)	50(¡C)	60(¡C)
0.1	80	95	123	150	176
0.2	85	106	145	182	219
0.3	81	105	153	199	244
0.4	70	99	155	209	261
0.5	57	90	153	214	273
0.6	41	78	150	217	282
0.7	26	66	144	218	288
0.8	10	54	138	218	293
0.9	-6	41	131	216	297
1	-23	28	124	214	300
1.5	-103	-38	85	200	307
2	-177	-99	48	184	309
2.5	-242	-153	14	168	311
3	-299	-200	-14	157	315
3.5	-346	-238	-35	152	323
4	-385	-269	-50	151	335
4.5	-418	-293	-60	155	350
5	-445	-313	-65	162	369
