Revised equation and table for determining the freezing point depression of H2O-Nacl solutions		Gibbard and Gossmann - Freezing points of electrolyte mixtures. I. Mixtur.pdf		Momicchioli 1970			Scatchard & Prentiss 1933		
									
FPD (¡C)	wt%	m (mol/kg)	Delta T (K)	m (mol/kg)	Delta T / m	Delta T (K)	m (mol/kg)	j	Delta T (K)
0.1	0.18	0.1368	0.4728	0.0178	3.6	0.06408	0.001	0.0108	0.003675867
0.2	0.35	0.1979	0.677	0.0242	3.5	0.0847	0.002	0.0148	0.007322006
0.3	0.53	0.2352	0.7998	0.0405	3.5	0.14175	0.005	0.0222	0.018167524
0.4	0.71	0.2646	0.9026	0.0586	3.49	0.204514	0.01	0.0297	0.036056348
0.5	0.88	0.3325	1.1301	0.098	3.48	0.34104	0.02	0.0388	0.071436384
0.6	1.05	0.406	1.3759	0.1309	3.44	0.450296	0.05	0.0537	0.17582254
0.7	1.23	0.4744	1.6095	0.1772	3.43	0.607796	0.1	0.0663	0.34696292
0.8	1.4	0.5828	1.9736	0.2289	3.41	0.780549	0.2	0.0785	0.6848588
0.9	1.57	0.6826	2.3088	0.3294	3.39	1.116666	0.3	0.0843	1.02082236
1	1.74	0.7985	2.7018	0.4285	3.39	1.452615	0.4	0.0876	1.35619136
1.1	1.91	0.9459	3.1983	0.5121	3.381	1.7314101	0.5	0.0895	1.691709
1.2	2.07	0.9788	3.3149	0.6081	3.371	2.0499051	0.6	0.0904	2.02804416
1.3	2.24	1.0907	3.6984	0.7592	3.376	2.5630592	0.7	0.0907	2.36527116
1.4	2.41	1.12085	3.804	0.9584	3.383	3.2422672	0.8	0.0902	2.70465344
1.5	2.57	1.2893	4.3827	1.152	3.39	3.90528	0.9	0.0896	3.04474176
1.6	2.74	1.3034	4.4409	1.4743	3.415	5.0347345	1	0.0884	3.3875056
1.7	2.9	1.3926	4.7496	1.7052	3.441	5.8675932	1.1	0.0871	3.73157004
1.8	3.06	1.5137	5.1824	2.029	3.478	7.056862			
1.9	3.23	1.5254	5.2239	2.4061	3.532	8.4983452			
2	3.39	1.7329	5.9709	2.8154	3.599	10.1326246			
2.1	3.55	1.7592	6.0733	3.0736	3.646	11.2063456			
2.2	3.71	1.8566	6.4248						
2.3	3.87	1.9445	6.7494						
2.4	4.03	2.349	8.281						
2.5	4.18	2.4797	8.791						
2.6	4.34	2.7058	9.692						
2.7	4.49	2.7117	9.715						
2.8	4.65	2.8232	10.186						
2.9	4.8	2.8235	10.204						
3	4.96	3.0858	11.273						
3.1	5.11	3.2993	12.189						
3.2	5.26	3.6265	13.633						
3.3	5.41								
3.4	5.56								
3.5	5.71								
3.6	5.86								
3.7	6.01								
3.8	6.16								
3.9	6.3								
4	6.45								
4.1	6.59								
4.2	6.74								
4.3	6.88								
4.4	7.02								
4.5	7.17								
4.6	7.31								
4.7	7.45								
4.8	7.59								
4.9	7.73								
5	7.86								
5.1	8								
5.2	8.14								
5.3	8.28								
5.4	8.41								
5.5	8.55								
5.6	8.68								
5.7	8.81								
5.8	8.95								
5.9	9.08								
6	9.21								
6.1	9.34								
6.2	9.47								
6.3	9.6								
6.4	9.73								
6.5	9.86								
6.6	9.98								
6.7	10.11								
6.8	10.24								
6.9	10.36								
7	10.49								
7.1	10.61								
7.2	10.73								
7.3	10.86								
7.4	10.98								
7.5	11.1								
7.6	11.22								
7.7	11.34								
7.8	11.46								
7.9	11.58								
8	11.7								
8.1	11.81								
8.2	11.93								
8.3	12.05								
8.4	12.16								
8.5	12.28								
8.6	12.39								
8.7	12.51								
8.8	12.62								
8.9	12.73								
9	12.85								
9.1	12.96								
9.2	13.07								
9.3	13.18								
9.4	13.29								
9.5	13.4								
9.6	13.51								
9.7	13.62								
9.8	13.72								
9.9	13.83								
10	13.94								
10.1	14.04								
10.2	14.15								
10.3	14.25								
10.4	14.36								
10.5	14.46								
10.6	14.57								
10.7	14.67								
10.8	14.77								
10.9	14.87								
11	14.97								
11.1	15.07								
11.2	15.17								
11.3	15.27								
11.4	15.37								
11.5	15.47								
11.6	15.57								
11.7	15.67								
11.8	15.76								
11.9	15.86								
12	15.96								
12.1	16.05								
12.2	16.15								
12.3	16.24								
12.4	16.34								
12.5	16.43								
12.6	16.53								
12.7	16.62								
12.8	16.71								
12.9	16.8								
13	16.89								
13.1	16.99								
13.2	17.08								
13.3	17.17								
13.4	17.26								
13.5	17.34								
13.6	17.43								
13.7	17.52								
13.8	17.61								
13.9	17.7								
14	17.79								
14.1	17.87								
14.2	17.96								
14.3	18.04								
14.4	18.13								
14.5	18.22								
14.6	18.3								
14.7	18.38								
14.8	18.47								
14.9	18.55								
15	18.63								
15.1	18.72								
15.2	18.8								
15.3	18.88								
15.4	18.96								
15.5	19.05								
15.6	19.13								
15.7	19.21								
15.8	19.29								
15.9	19.37								
16	19.45								
16.1	19.53								
16.2	19.6								
16.3	19.68								
16.4	19.76								
16.5	19.84								
16.6	19.92								
16.7	19.99								
16.8	20.07								
16.9	20.15								
17	20.22								
17.1	20.3								
17.2	20.37								
17.3	20.45								
17.4	20.52								
17.5	20.6								
17.6	20.67								
17.7	20.75								
17.8	20.82								
17.9	20.89								
18	20.97								
18.1	21.04								
18.2	21.11								
18.3	21.19								
18.4	21.26								
18.5	21.33								
18.6	21.4								
18.7	21.47								
18.8	21.54								
18.9	21.61								
19	21.68								
19.1	21.75								
19.2	21.82								
19.3	21.89								
19.4	21.96								
19.5	22.03								
19.6	22.1								
19.7	22.17								
19.8	22.24								
19.9	22.31								
20	22.38								
20.1	22.44								
20.2	22.51								
20.3	22.58								
20.4	22.65								
20.5	22.71								
20.6	22.78								
20.7	22.85								
20.8	22.91								
20.9	22.98								
21	23.05								
21.1	23.11								
21.2	23.18								
