																		
Gibbard	Gibbard et al. - 1974 - Liquid-vapor equilibrium of aqueous sodium chlorid.pdf									Partanen 2014		"Clarke, E. C. W., & Glew, D. N. (1985). "						
	Osmotic coefficient			Activity Coefficient (1+log_10(gamma)			Apparent molar enthalpy (cal/mol)										Clarke 1985	
b (mol/kg)	0¡C	25¡C	50¡C	0¡C	25¡C	50¡C	0¡C	25¡C	50¡C	b (mol/kg)	phi (0¡C)	b (mol/kg)	phi (0¡C)	phi (5¡C)	phi (25¡C)	phi (40¡C)	b (mol/kg)	gamma
0.1	0.932	0.9338	0.9317	0.8934	0.8925	0.8882	NaN	NaN	NaN	0.1	0.9325	0	1	1	1	1	0	1
0.2	0.9214	0.9249	0.9235	0.8664	0.8673	0.8628	-8	84	155	0.2	0.9213	0.001	0.98882	0.98874	0.9884	0.98809	0.001	0.96632
0.3	0.9157	0.922	0.9214	0.8496	0.8525	0.8482	-51	88	189	0.5	0.9098	0.002	0.98458	0.98449	0.98402	0.98361	0.002	0.95347
0.4	0.9127	0.9215	0.9219	0.8376	0.8425	0.8386	-97	81	207	1	0.912	0.005	0.9768	0.97668	0.97604	0.97544	0.005	0.92969
0.5	0.9111	0.9224	0.9237	0.8284	0.8353	0.8319	-143	70	218	1.5	0.922	0.01	0.96894	0.96881	0.96804	0.96726	0.01	0.90532
0.6	0.9106	0.9241	0.9264	0.8211	0.83	0.8271	-189	57	224			0.02	0.95925	0.95916	0.95832	0.95736	0.02	0.87464
0.7	0.9109	0.9266	0.9297	0.8152	0.826	0.8237	-234	42	228			0.05	0.94408	0.94418	0.94357	0.94247	0.05	0.82428
0.8	0.9118	0.9294	0.9335	0.8105	0.8231	0.8214	-278	26	230			0.1	0.93184	0.93232	0.9325	0.93151	0.1	0.77998
0.9	0.9132	0.9327	0.9376	0.8066	0.821	0.8198	-320	10	230			0.2	0.92056	0.92183	0.92387	0.92344	0.2	0.73269
1	0.915	0.9363	0.9419	0.8035	0.8196	0.819	-362	-6	230			0.3	0.91527	0.9173	0.92123	0.92149	0.3	0.70493
1.2	0.9199	0.9443	0.9513	0.799	0.8183	0.8188	-402	-23	228			0.4	0.91254	0.91528	0.92106	0.92203	0.4	0.68579
1.4	0.9261	0.9531	0.9614	0.7965	0.8187	0.8202	-479	-55	224			0.5	0.91128	0.91469	0.92224	0.92391	0.5	0.67159
1.5	0.9296	0.9578	0.9666	0.7959	0.8194	0.8214	-551	-87	219			0.6	0.91101	0.91504	0.92427	0.92662	0.6	0.66061
1.6	0.9334	0.9627	0.972	0.7956	0.8204	0.8229	-585	-103	216			0.7	0.91148	0.9161	0.92691	0.92992	0.7	0.65193
1.8	0.9418	0.973	0.9831	0.7961	0.8232	0.8266	-619	-118	214			0.8	0.91254	0.91771	0.93002	0.93365	0.8	0.645
2	0.951	0.9838	0.9946	0.7976	0.8269	0.8311	-682	-148	208			0.9	0.9141	0.91978	0.9335	0.93771	0.9	0.63944
2.5	0.9774	1.0129	1.0249	0.8055	0.8393	0.8451	-741	-177	202			1	0.9161	0.92225	0.93729	0.94206	1	0.63501
3	1.0077	1.0447	1.0567	0.818	0.8553	0.8621	-875	-242	188			1.2	0.92129	0.92823	0.94567	0.95144	1.2	0.62884
3.5	1.0412	1.0785	1.0898	0.8342	0.8741	0.8813	-989	-300	178			1.4	0.92761	0.93538	0.95491	0.96156	1.4	0.62553
4	1.0773	1.1141	1.1238	NaN	0.8951	0.9023	-1089	-349	171			1.5	0.93123	0.93934	0.9598	0.96684	1.5	0.62475
4.5	1.1158	1.1511	1.1583	NaN	0.9179	0.9245	NaN	-390	169			1.6	0.93512	0.94354	0.96487	0.97226	1.6	0.62448
5	1.1566	1.1893	1.1932	NaN	0.9423	0.9476	NaN	-423	171			1.8	0.94363	0.95253	0.97545	0.98347	1.8	0.62532
5.5	1.2	1.2286	1.2282	NaN	0.968	0.9715	NaN	-449	179			2	0.95301	0.96244	0.98657	0.9951	2	0.62778
6	1.2462	1.2687	1.2631	NaN	0.9948	0.996	NaN	-468	192			2.2	0.9632	0.97299	0.99818	1.0071	2.2	0.63167
							NaN	-478	210			2.4	0.9741	0.98419	1.01021	1.01942	2.4	0.63685
												2.5	0.97979	0.99002	1.01638	1.0257	2.5	0.63988
												2.6	0.98565	0.99598	1.02263	1.03203	2.6	0.64432
												2.8	0.9978	1.0083	1.0354	1.04489	2.8	0.65066
												3	1.0105	1.02111	1.04848	1.05798	3	0.65916
												3.2	1.02369	1.03437	1.06185	1.07126	3.2	0.66865
												3.4	1.03735	1.04803	1.07548	1.08472	3.4	0.67909
												3.5	1.04434	1.05501	1.08238	1.0915	3.5	0.68467
												3.6	1.05143	1.06203	1.08934	1.09833	3.6	0.69047
												3.8	1.06591	1.07643	1.10343	1.11207	3.8	0.70276
												4	1.08075	1.09121	1.11771	1.12593	4	0.71595
												4.2	1.09593	1.10625	1.13217	1.1399	4.2	0.73004
												4.4	1.11144	1.12157	1.14681	1.15396	4.4	0.74504
												4.5	1.11931	1.12934	1.15418	1.16101	4.5	0.75287
												4.6	1.12726	1.13717	1.1616	1.16809	4.6	0.76094
												4.8	1.14337	1.15304	1.17653	1.18228	4.8	0.77776
												5	1.15977	1.16916	1.1916	1.19653	5	0.79552
												5.4	1.1934	1.20215	1.22212	1.22513	5.4	0.83397
												5.8	1.22815	1.23612	1.25311	1.25383	5.8	0.87654
