	Averaged					
b (mol/kg)	gamma (0)	gamma (10)	gamma (15)	gamma (25)	gamma (40)	gamma (60)
0.001	0.96632	0.96584	0.96558	0.96503	0.96413	0.96275
0.002	0.95347	0.95284	0.95259	0.95175	0.95052	0.94864
0.005	0.92969	0.92882	0.92833	0.92726	0.92546	0.92268
0.01	0.90532	0.90427	0.90366	0.90231	0.89997	0.89632
0.02	0.87464	0.87351	0.87279	0.87114	0.8682	0.86353
0.05	0.82428	0.82339	0.82265	0.82074	0.81707	0.81094
0.1	0.781056383	0.77986	0.77931	0.778596147	0.77356	0.76644
0.2	0.734036678	0.73466	0.734675	0.734788609	0.73042	0.7218
0.3	0.706192747	0.708645	0.70946	0.7102276	0.70676	0.69772
0.4	0.68700378	0.691395	0.692505	0.694478318	0.69158	0.68251
0.5	0.672721262	0.67907	0.68047	0.68325808	0.681325	0.67225
0.6	0.661626819	0.669315	0.671995	0.675120992	0.67463	0.66516
0.7	0.652891545	0.66218	0.66513	0.669411536	0.66953	0.66027
0.8	0.645908179	0.65688	0.660085	0.66516212	0.666235	0.65701
0.9	0.64020876	0.65224	0.656695	0.662085501	0.66457	0.655
1	0.635760366	0.64914	0.65383	0.660045069	0.663415	0.65401
1.2	0.629339174	0.64521	0.65086	0.658544096	0.663795	0.65438
1.4	0.625828575	0.64413	0.650705	0.65974957	0.66641	0.65717
1.5	0.624990345	0.643755	0.65103	0.660867099	0.66834	0.6593
1.6	0.624580524	0.644615	0.652095	0.662617416	0.67099	0.66183
1.8	0.625289391	0.646985	0.65534	0.667269865	0.67686	0.66801
2	0.627572801	0.65061	0.659825	0.673194756	0.6844	0.67545
2.5	0.63903579	0.66573	0.6766695	0.69281559	0.7072	0.6986
3	0.657735381	0.687235	0.700015	0.718696092	0.73594	0.7271
3.5	0.68278318	0.71522	0.72916	0.750343931	0.769225	0.76007
4	0.713958333	0.748475	0.764025	0.787168821	0.80685	0.79702
4.5	0.750891667	0.78796	0.80455	0.829090515	0.849715	0.83763
5	0.793933333	0.83421	0.85128	0.876859467	0.896285	0.88165
