Clarke							Partanen						Gibbard		Average					
b (mol/kg)	phi (0¡C)	phi (5¡C)	phi (15¡C)	phi (25¡C)	phi (40¡C)	phi (60¡C)	phi (0¡C)	phi (5¡C)	phi (15¡C)	phi (25¡C)	phi (40¡C)	phi (60¡C)	0¡C	25¡C	phi (0¡C)	phi (5¡C)	phi (15¡C)	phi (25¡C)	phi (40¡C)	phi (60¡C)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.001	0.98882	0.98874	0.98858	0.9884	0.98809	0.98763	0.98882	0.98874	0.98858	0.9884	0.98809	0.98763	0.98882	0.9884	0.98882	0.98874	0.98858	0.9884	0.98809	0.98763
0.002	0.98458	0.98449	0.98427	0.98402	0.98361	0.98298	0.98458	0.98449	0.98427	0.98402	0.98361	0.98298	0.98458	0.98402	0.98458	0.98449	0.98427	0.98402	0.98361	0.98298
0.005	0.9768	0.97668	0.97639	0.97604	0.97544	0.97449	0.9768	0.97668	0.97639	0.97604	0.97544	0.97449	0.9768	0.97604	0.9768	0.97668	0.97639	0.97604	0.97544	0.97449
0.01	0.96894	0.96881	0.96847	0.96804	0.96726	0.96601	0.96894	0.96881	0.96847	0.96804	0.96726	0.96601	0.96894	0.96804	0.96894	0.96881	0.96847	0.96804	0.96726	0.96601
0.02	0.95925	0.95916	0.95881	0.95832	0.95736	0.95576	0.95925	0.95916	0.95881	0.95832	0.95736	0.95576	0.95925	0.95832	0.95925	0.95916	0.95881	0.95832	0.95736	0.95576
0.05	0.94408	0.94418	0.94403	0.94357	0.94247	0.94041	0.94408	0.94418	0.94403	0.94357	0.94247	0.94041	0.94408	0.94357	0.94408	0.94418	0.94403	0.94357	0.94247	0.94041
0.1	0.93184	0.93232	0.93269	0.9325	0.93151	0.92925	0.93184	0.93232	0.93269	0.9325	0.93151	0.92925	0.932	0.9338	0.931912727	0.93232	0.93269	0.933090909	0.93151	0.92925
0.2	0.92056	0.92183	0.92334	0.92387	0.92344	0.92131	0.921	0.923	0.9234	0.9242	0.9242	0.9221	0.9214	0.9249	0.920981818	0.922025	0.92335	0.924368182	0.923566667	0.921441667
0.3	0.91527	0.9173	0.91994	0.92123	0.92149	0.91972	0.916	0.919	0.92	0.922	0.923	0.921	0.9157	0.922	0.915531818	0.917583333	0.91995	0.92165	0.921741667	0.919933333
0.4	0.91254	0.91528	0.91901	0.92106	0.92203	0.92069	0.914	0.918	0.92	0.922	0.924	0.922	0.9127	0.9215	0.912745455	0.915733333	0.919175	0.921345455	0.922358333	0.920908333
0.5	0.91128	0.91469	0.91945	0.92224	0.92391	0.92301	0.913	0.918	0.92	0.924	0.926	0.925	0.9111	0.9224	0.911354545	0.915241667	0.919541667	0.922472727	0.924258333	0.923341667
0.6	0.91101	0.91504	0.92079	0.92427	0.92662	0.92617	0.912	0.919	0.922	0.926	0.93	0.929	0.9106	0.9241	0.910913636	0.9157	0.920991667	0.92435	0.927183333	0.926641667
0.7	0.91148	0.9161	0.92276	0.92691	0.92992	0.92989	0.913	0.921	0.924	0.929	0.934	0.933	0.9109	0.9266	0.911354545	0.916916667	0.922966667	0.926959091	0.9306	0.930408333
0.8	0.91254	0.91771	0.92524	0.93002	0.93365	0.93403	0.914	0.923	0.926	0.932	0.938	0.938	0.9118	0.9294	0.912336364	0.918591667	0.925366667	0.929918182	0.934375	0.934691667
0.9	0.9141	0.91978	0.92813	0.9335	0.93771	0.9385	0.915	0.925	0.929	0.936	0.942	0.943	0.9132	0.9327	0.913772727	0.92065	0.928275	0.933363636	0.938425	0.93925
1	0.9161	0.92225	0.93137	0.93729	0.94206	0.94322	0.917	0.928	0.933	0.94	0.947	0.948	0.915	0.9363	0.915681818	0.923208333	0.931641667	0.937086364	0.942883333	0.944016667
1.2	0.92129	0.92823	0.93873	0.94567	0.95144	0.95326	0.921	0.934	0.94	0.949	0.957	0.959	0.9199	0.9443	0.920631818	0.929191667	0.938941667	0.94535	0.952366667	0.954216667
1.4	0.92761	0.93538	0.94708	0.95491	0.96156	0.96393	0.927	0.942	0.948	0.958	0.968	0.971	0.9261	0.9531	0.926868182	0.936483333	0.947233333	0.954368182	0.962633333	0.965108333
1.5	0.93123	0.93934	0.95158	0.9598	0.96684	0.96916	0.93	0.945	0.952	0.963	0.973	0.976	0.9296	0.9578	0.930377273	0.940283333	0.95165	0.959181818	0.967866667	0.9703
1.6	0.93512	0.94354	0.95628	0.96487	0.97226	0.97509	0.933	0.949	0.956	0.968	0.979	0.982	0.9334	0.9627	0.934145455	0.94445	0.956233333	0.964168182	0.973383333	0.976241667
1.8	0.94363	0.95253	0.9662	0.97545	0.98347	0.98664	0.94	0.958	0.966	0.978	0.99	0.994	0.9418	0.973	0.942468182	0.953441667	0.966166667	0.974568182	0.984558333	0.987866667
2	0.95301	0.96244	0.9768	0.98657	0.9951	0.99852	0.948	0.967	0.975	0.989	1.002	1.006	0.951	0.9838	0.951640909	0.9632	0.9765	0.985531818	0.99625	0.999766667
2.5	0.97979	0.99002	1.00568	1.01638	1.0257	1.02927	0.972	0.993	1.002	1.017	1.031	1.036	0.9774	1.0129	0.977995455	0.990516667	1.005066667	1.014854545	1.026583333	1.030391667
3	1.0105	1.02111	1.03739	1.04848	1.05798	1.06111	0.999	1.022	1.031	1.047	1.062	1.067	1.0077	1.0447	1.008181818	1.021258333	1.036325	1.046627273	1.05865	1.062091667
3.5	1.04434	1.05501	1.07135	1.08238	1.0915	1.09361	1.031	1.054	1.063	1.079	1.094	1.098	1.0412	1.0785	1.0417	1.054841667	1.069958333	1.080309091	1.091916667	1.094341667
4	1.08075	1.09121	1.10714	1.11771	1.12593	1.12644	1.067	1.089	1.098	1.113	1.126	1.129	1.0773	1.1141	1.077931818	1.090841667	1.105616667	1.115640909	1.125941667	1.126866667
