	Average					
b (mol/kg)	phi (0¡C)	phi (5¡C)	phi (15¡C)	phi (25¡C)	phi (40¡C)	phi (60¡C)
0	1	1	1	1	1	1
0.001	0.98882	0.98874	0.98858	0.9884	0.98809	0.98763
0.002	0.98458	0.98449	0.98427	0.98402	0.98361	0.98298
0.005	0.9768	0.97668	0.97639	0.97604	0.97544	0.97449
0.01	0.96894	0.96881	0.96847	0.96804	0.96726	0.96601
0.02	0.95925	0.95916	0.95881	0.95832	0.95736	0.95576
0.05	0.94408	0.94418	0.94403	0.94357	0.94247	0.94041
0.1	0.931912727	0.93232	0.93269	0.933090909	0.93151	0.92925
0.2	0.920981818	0.922025	0.92335	0.924368182	0.923566667	0.921441667
0.3	0.915531818	0.917583333	0.91995	0.92165	0.921741667	0.919933333
0.4	0.912745455	0.915733333	0.919175	0.921345455	0.922358333	0.920908333
0.5	0.911354545	0.915241667	0.919541667	0.922472727	0.924258333	0.923341667
0.6	0.910913636	0.9157	0.920991667	0.92435	0.927183333	0.926641667
0.7	0.911354545	0.916916667	0.922966667	0.926959091	0.9306	0.930408333
0.8	0.912336364	0.918591667	0.925366667	0.929918182	0.934375	0.934691667
0.9	0.913772727	0.92065	0.928275	0.933363636	0.938425	0.93925
1	0.915681818	0.923208333	0.931641667	0.937086364	0.942883333	0.944016667
1.2	0.920631818	0.929191667	0.938941667	0.94535	0.952366667	0.954216667
1.4	0.926868182	0.936483333	0.947233333	0.954368182	0.962633333	0.965108333
1.5	0.930377273	0.940283333	0.95165	0.959181818	0.967866667	0.9703
1.6	0.934145455	0.94445	0.956233333	0.964168182	0.973383333	0.976241667
1.8	0.942468182	0.953441667	0.966166667	0.974568182	0.984558333	0.987866667
2	0.951640909	0.9632	0.9765	0.985531818	0.99625	0.999766667
2.5	0.977995455	0.990516667	1.005066667	1.014854545	1.026583333	1.030391667
3	1.008181818	1.021258333	1.036325	1.046627273	1.05865	1.062091667
3.5	1.0417	1.054841667	1.069958333	1.080309091	1.091916667	1.094341667
4	1.077931818	1.090841667	1.105616667	1.115640909	1.125941667	1.126866667
4.5	1.116777273	1.129116667	1.143041667	1.152309091	1.160841667	1.159616667
5	1.157804545	1.1693	1.181891667	1.190045455	1.196275	1.192233333
